ID	Group	Name	Tissue	Type
E083	Heart	Fetal Heart	HEART	PrimaryTissue
E104	Heart	Right Atrium	HEART	PrimaryTissue
E095	Heart	Left Ventricle	HEART	PrimaryTissue
E105	Heart	Right Ventricle	HEART	PrimaryTissue
E065	Heart	Aorta	VASCULAR	PrimaryTissue
E078	Sm. Muscle	Duodenum Smooth Muscle	GI_DUODENUM	PrimaryTissue
E076	Sm. Muscle	Colon Smooth Muscle	GI_COLON	PrimaryTissue
E103	Sm. Muscle	Rectal Smooth Muscle	GI_RECTUM	PrimaryTissue
E111	Sm. Muscle	Stomach Smooth Muscle	GI_STOMACH	PrimaryTissue
E092	Digestive	Fetal Stomach	GI_STOMACH	PrimaryTissue
E085	Digestive	Fetal Intestine Small	GI_INTESTINE	PrimaryTissue
E084	Digestive	Fetal Intestine Large	GI_INTESTINE	PrimaryTissue
E109	Digestive	Small Intestine	GI_INTESTINE	PrimaryTissue
E106	Digestive	Sigmoid Colon	GI_COLON	PrimaryTissue
E075	Digestive	Colonic Mucosa	GI_COLON	PrimaryTissue
E101	Digestive	Rectal Mucosa Donor 29	GI_RECTUM	PrimaryTissue
E102	Digestive	Rectal Mucosa Donor 31	GI_RECTUM	PrimaryTissue
E110	Digestive	Stomach Mucosa	GI_STOMACH	PrimaryTissue
E077	Digestive	Duodenum Mucosa	GI_DUODENUM	PrimaryTissue
E079	Digestive	Esophagus	GI_ESOPHAGUS	PrimaryTissue
E094	Digestive	Gastric	GI_STOMACH	PrimaryTissue
E099	Other	Placenta Amnion	PLACENTA	PrimaryTissue
E086	Other	Fetal Kidney	KIDNEY	PrimaryTissue
E088	Other	Fetal Lung	LUNG	PrimaryTissue
E097	Other	Ovary	OVARY	PrimaryTissue
E087	Other	Pancreatic Islets	PANCREAS	PrimaryTissue
E080	Other	Fetal Adrenal Gland	ADRENAL	PrimaryTissue
E091	Other	Placenta	PLACENTA	PrimaryTissue
E066	Other	Liver	LIVER	PrimaryTissue
E098	Other	Pancreas	PANCREAS	PrimaryTissue
E096	Other	Lung	LUNG	PrimaryTissue
E113	Other	Spleen	SPLEEN	PrimaryTissue
E114	ENCODE2012	A549 EtOH 0.02pct Lung Carcinoma Cell Line	LUNG	CellLine
E115	ENCODE2012	Dnd41 TCell Leukemia Cell Line	BLOOD	CellLine
E116	ENCODE2012	GM12878 Lymphoblastoid Cells	BLOOD	PrimaryCulture
E117	ENCODE2012	HeLa-S3 Cervical Carcinoma Cell Line	CERVIX	CellLine
E118	ENCODE2012	HepG2 Hepatocellular Carcinoma Cell Line	LIVER	CellLine
E119	ENCODE2012	HMEC Mammary Epithelial Primary Cells	BREAST	PrimaryCulture
E120	ENCODE2012	HSMM Skeletal Muscle Myoblasts Cells	MUSCLE	PrimaryCulture
E121	ENCODE2012	HSMM cell derived Skeletal Muscle Myotubes Cells	MUSCLE	PrimaryCulture
E122	ENCODE2012	HUVEC Umbilical Vein Endothelial Primary Cells	VASCULAR	PrimaryCulture
E123	ENCODE2012	K562 Leukemia Cells	BLOOD	PrimaryCulture
E124	ENCODE2012	Monocytes-CD14+ RO01746 Primary Cells	BLOOD	PrimaryCell
E125	ENCODE2012	NH-A Astrocytes Primary Cells	BRAIN	PrimaryCulture
E126	ENCODE2012	NHDF-Ad Adult Dermal Fibroblast Primary Cells	SKIN	PrimaryCulture
E127	ENCODE2012	NHEK-Epidermal Keratinocyte Primary Cells	SKIN	PrimaryCulture
E128	ENCODE2012	NHLF Lung Fibroblast Primary Cells	LUNG	PrimaryCulture
E129	ENCODE2012	Osteoblast Primary Cells	BONE	PrimaryCulture
